Ingredient	Gene_ID
senkyunolide_E_pred	11255
senkyunolide_E_pred	5739
senkyunolide_E_pred	10911
Obtusifolin_pred	1269
Obtusifolin_pred	6716
Obtusifolin_pred	1813
Obtusifolin_pred	887
Obtusifolin_pred	43
Obtusifolin_pred	2542
Obtusifolin_pred	4985
Obtusifolin_pred	4988
Obtusifolin_pred	1268
Obtusifolin_pred	4544
Obtusifolin_pred	3292
Obtusifolin_pred	2915
Obtusifolin_pred	3249
Obtusifolin_pred	8989
Obtusifolin_pred	154
Obtusifolin_pred	759
Obtusifolin_pred	1585
Obtusifolin_pred	11255
Obtusifolin_pred	3569
Obtusifolin_pred	4128
Sedanolide_pred	1588
Sedanolide_pred	2053
Sedanolide_pred	4986
Sedanolide_pred	776
Sedanolide_pred	6915
Sedanolide_pred	4598
Sedanolide_pred	3156
Sedanolide_pred	165140
Sedanolide_pred	367
Sedanolide_pred	590
Sedanolide_pred	6462
Sedanolide_pred	23566
Sedanolide_pred	5739
Sedanolide_pred	775
Sedanolide_pred	1129
Sedanolide_pred	7442
Sedanolide_pred	3065
Sedanolide_pred	4306
Sedanolide_pred	9170
Sedanolide_pred	3290
YXQN_targetTotal	150
YXQN_targetTotal	1812
YXQN_targetTotal	10919
YXQN_targetTotal	5243
YXQN_targetTotal	1565
YXQN_targetTotal	55775
YXQN_targetTotal	5893
YXQN_targetTotal	2053
YXQN_targetTotal	3558
YXQN_targetTotal	7124
YXQN_targetTotal	2152
YXQN_targetTotal	196
YXQN_targetTotal	1557
YXQN_targetTotal	43
YXQN_targetTotal	1576
YXQN_targetTotal	6622
YXQN_targetTotal	7468
YXQN_targetTotal	9970
YXQN_targetTotal	2101
YXQN_targetTotal	1544
YXQN_targetTotal	1559
YXQN_targetTotal	367
YXQN_targetTotal	2033
YXQN_targetTotal	151
YXQN_targetTotal	152
YXQN_targetTotal	147
YXQN_targetTotal	146
YXQN_targetTotal	3357
YXQN_targetTotal	148
YXQN_targetTotal	1813
YXQN_targetTotal	3362
YXQN_targetTotal	3569
YXQN_targetTotal	3553
YXQN_targetTotal	3630
YXQN_targetTotal	207
YXQN_targetTotal	836
YXQN_targetTotal	5743
YXQN_targetTotal	847
YXQN_targetTotal	208
YXQN_targetTotal	10682
YXQN_targetTotal	340451
YXQN_targetTotal	4318
YXQN_targetTotal	3725
YXQN_targetTotal	759
YXQN_targetTotal	213
YXQN_targetTotal	5595
YXQN_targetTotal	114548
YXQN_targetTotal	1543
YXQN_targetTotal	590
YXQN_targetTotal	4790
YXQN_targetTotal	351
YXQN_targetTotal	7099
YXQN_targetTotal	8989
YXQN_targetTotal	4803
YXQN_targetTotal	9365
YXQN_targetTotal	627
YXQN_targetTotal	100271694
YXQN_targetTotal	23621
YXQN_targetTotal	581
YXQN_targetTotal	4035
YXQN_targetTotal	3416
YXQN_targetTotal	6774
YXQN_targetTotal	595
YXQN_targetTotal	23771
YXQN_targetTotal	7040
YXQN_targetTotal	4843
YXQN_targetTotal	4846
YXQN_targetTotal	940
YXQN_targetTotal	7097
YXQN_targetTotal	5152
YXQN_targetTotal	5742
YXQN_targetTotal	8654
YXQN_targetTotal	920
YXQN_targetTotal	2920
YXQN_targetTotal	2597
YXQN_targetTotal	3717
YXQN_targetTotal	3576
YXQN_targetTotal	5138
YXQN_targetTotal	4292
YXQN_targetTotal	4436
YXQN_targetTotal	5970
YXQN_targetTotal	54738
YXQN_targetTotal	958
YXQN_targetTotal	761
YXQN_targetTotal	1956
YXQN_targetTotal	2919
YXQN_targetTotal	10846
YXQN_targetTotal	1652
YXQN_targetTotal	100506658
YXQN_targetTotal	5594
YXQN_targetTotal	7442
YXQN_targetTotal	7299
YXQN_targetTotal	140805
YXQN_targetTotal	59341
YXQN_targetTotal	286
YXQN_targetTotal	11319
YXQN_targetTotal	27235
YXQN_targetTotal	51004
YXQN_targetTotal	7350
YXQN_targetTotal	9311
YXQN_targetTotal	3916
YXQN_targetTotal	4128
YXQN_targetTotal	162514
YXQN_targetTotal	3459
YXQN_targetTotal	1636
YXQN_targetTotal	1571
YXQN_targetTotal	154
YXQN_targetTotal	2358
YXQN_targetTotal	2854
YXQN_targetTotal	6462
YXQN_targetTotal	5739
YXQN_targetTotal	279
YXQN_targetTotal	5972
YXQN_targetTotal	1901
YXQN_targetTotal	23566
YXQN_targetTotal	165140
